person_age,person_income,person_home_ownership,person_emp_length,loan_intent,loan_grade,loan_amnt,loan_int_rate,loan_status,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length,OTHER_DEBT,TIME_WITH_BANK,LOAN_PERIOD in days,,
22,59000,RENT,123,PERSONAL,D,35000,16.02,1,0.59,Y,3,31681.02,7,316,,
21,9600,OWN,5,EDUCATION,B,1000,11.14,0,0.1,N,2,31437.14018,6,314,,
25,9600,MORTGAGE,1,MEDICAL,C,5500,12.87,1,0.57,N,3,23979.12716,9,239,,
23,65500,RENT,4,MEDICAL,C,35000,15.23,1,0.53,N,2,2602.283057,5,260,,
24,54400,RENT,8,MEDICAL,C,35000,14.27,1,0.55,Y,4,59393.2034,8,593,,
21,9900,OWN,2,VENTURE,A,2500,7.14,1,0.25,N,2,34162.06814,3,341,,
26,77100,RENT,8,EDUCATION,B,35000,12.42,1,0.45,N,3,73491.84422,6,734,,
24,78956,RENT,5,MEDICAL,B,35000,11.11,1,0.44,N,4,7353.823318,4,735,,
24,83000,RENT,8,PERSONAL,A,35000,8.9,1,0.42,N,2,90654.6321,4,906,,
21,10000,OWN,6,VENTURE,D,1600,14.74,1,0.16,N,3,12582.06784,1,125,,
22,85000,RENT,6,VENTURE,B,35000,10.37,1,0.41,N,4,67145.75248,6,671,,
21,10000,OWN,2,HOMEIMPROVEMENT,A,4500,8.63,1,0.45,N,2,62514.56161,5,625,,
23,95000,RENT,2,VENTURE,A,35000,7.9,1,0.37,N,2,76676.46784,8,766,,
26,108160,RENT,4,EDUCATION,E,35000,18.39,1,0.32,N,4,48295.97508,6,482,,
23,115000,RENT,2,EDUCATION,A,35000,7.9,0,0.3,N,4,61586.03761,9,615,,
23,500000,MORTGAGE,7,DEBTCONSOLIDATION,B,30000,10.65,0,0.06,N,3,92732.57034,1,927,,
23,120000,RENT,0,EDUCATION,A,35000,7.9,0,0.29,N,4,96607.87868,8,966,,
23,92111,RENT,7,MEDICAL,F,35000,20.25,1,0.32,N,4,14635.10978,2,146,,
23,113000,RENT,8,DEBTCONSOLIDATION,D,35000,18.25,1,0.31,N,4,69834.98727,8,698,,
24,10800,MORTGAGE,8,EDUCATION,B,1750,10.99,1,0.16,N,2,34475.47564,1,344,,
25,162500,RENT,2,VENTURE,A,35000,7.49,0,0.22,N,4,49991.74151,6,499,,
25,137000,RENT,9,PERSONAL,E,34800,16.77,0,0.25,Y,2,48655.75437,2,486,,
22,65000,RENT,4,EDUCATION,D,34000,17.58,1,0.52,N,4,19296.98739,2,192,,
24,10980,OWN,0,PERSONAL,A,1500,7.29,0,0.14,N,3,30184.01665,7,301,,
22,80000,RENT,3,PERSONAL,D,33950,14.54,1,0.42,Y,4,52589.23555,3,525,,
24,67746,RENT,8,HOMEIMPROVEMENT,C,33000,12.68,1,0.49,N,3,72368.83177,2,723,,
21,11000,MORTGAGE,3,VENTURE,E,4575,17.74,1,0.42,Y,3,52753.41234,3,527,,
23,11000,OWN,0,PERSONAL,A,1400,9.32,0,0.13,N,3,94249.30821,9,942,,
24,65000,RENT,6,HOMEIMPROVEMENT,B,32500,9.99,1,0.5,N,3,17527.18029,9,175,,
21,11389,OTHER,5,EDUCATION,C,4000,12.84,1,0.35,Y,2,81352.84479,5,813,,
21,11520,OWN,5,MEDICAL,B,2000,11.12,1,0.17,N,3,84028.46283,2,840,,
25,120000,RENT,2,VENTURE,A,32000,6.62,0,0.27,N,2,67852.58325,5,678,,
26,95000,RENT,7,HOMEIMPROVEMENT,C,31050,14.17,1,0.33,Y,3,89220.17036,2,892,,
25,306000,RENT,2,DEBTCONSOLIDATION,C,24250,13.85,0,0.08,N,3,87047.69283,9,870,,
26,300000,MORTGAGE,10,MEDICAL,C,7800,13.49,0,0.03,N,4,79633.33622,7,796,,
21,12000,OWN,5,EDUCATION,A,2500,7.51,1,0.21,N,4,20125.89848,1,201,,
22,48000,RENT,1,EDUCATION,E,30000,18.39,1,0.63,N,2,36239.93134,1,362,,
24,64000,RENT,8,DEBTCONSOLIDATION,D,30000,14.54,1,0.47,Y,3,21115.77401,9,211,,
25,75000,RENT,4,HOMEIMPROVEMENT,D,30000,16.89,1,0.4,Y,4,63966.9375,5,639,,
23,71500,RENT,3,DEBTCONSOLIDATION,D,30000,,1,0.42,N,4,69255.16647,5,692,,
26,62050,RENT,6,MEDICAL,E,30000,17.99,1,0.41,N,2,33115.04276,9,331,,
24,12000,OWN,4,VENTURE,B,2500,12.69,1,0.21,N,3,71256.27345,1,712,,
26,300000,MORTGAGE,10,VENTURE,A,20000,7.88,0,0.07,N,4,37168.27715,2,371,,
23,300000,OWN,1,EDUCATION,F,24250,19.41,0,0.08,Y,2,83120.81778,1,831,,
26,300000,OWN,9,HOMEIMPROVEMENT,B,10000,10.38,0,0.03,N,4,66546.80515,5,665,,
26,300000,MORTGAGE,0,EDUCATION,D,25000,15.33,0,0.08,N,3,67591.92988,1,675,,
25,300000,MORTGAGE,9,HOMEIMPROVEMENT,E,18000,16.45,0,0.06,N,3,92119.36525,6,921,,
26,80690,RENT,8,PERSONAL,A,30000,7.49,1,0.37,N,3,87870.74993,4,878,,
22,66300,RENT,4,MEDICAL,B,30000,12.69,1,0.38,N,3,39704.80367,3,397,,
26,89028,RENT,0,DEBTCONSOLIDATION,A,30000,6.62,1,0.34,N,3,46885.8323,6,468,,
24,78000,RENT,4,DEBTCONSOLIDATION,D,30000,,1,0.38,Y,4,58870.56515,3,588,,
23,78000,RENT,7,DEBTCONSOLIDATION,F,30000,18.62,1,0.38,Y,3,18777.46104,5,187,,
23,92004,RENT,6,PERSONAL,C,30000,15.23,1,0.33,Y,3,95257.19566,6,952,,
23,97000,RENT,7,VENTURE,B,30000,10.65,1,0.31,N,2,52114.11895,1,521,,
25,120000,RENT,9,EDUCATION,A,30000,7.9,0,0.25,N,4,15388.60003,5,153,,
26,280000,RENT,4,PERSONAL,C,10000,15.96,0,0.04,Y,3,42933.58834,9,429,,
26,277104,RENT,0,VENTURE,B,20000,11.48,0,0.07,N,3,86275.99595,4,862,,
23,277000,OWN,3,PERSONAL,A,35000,,0,0.13,N,4,89241.23102,2,892,,
25,128000,RENT,9,PERSONAL,A,30000,7.29,0,0.23,N,4,88866.31961,7,888,,
24,12000,OWN,2,VENTURE,E,1750,,0,0.15,Y,3,73880.84738,7,738,,
21,131000,RENT,0,VENTURE,A,30000,5.99,0,0.23,N,4,69883.00739,1,698,,
22,275000,OWN,6,VENTURE,B,12000,11.58,0,0.04,N,2,10517.43301,8,105,,
26,263000,MORTGAGE,0,EDUCATION,B,10000,,1,0.04,N,4,49491.18112,6,494,,
25,221850,MORTGAGE,9,MEDICAL,D,25000,15.7,1,0.1,N,2,90691.70255,2,906,,
22,70000,RENT,6,EDUCATION,D,29100,15.99,1,0.42,N,3,78675.03943,7,786,,
22,12000,MORTGAGE,7,EDUCATION,D,1500,14.84,0,0.13,Y,3,4525.71795,5,452,,
26,260000,OWN,10,HOMEIMPROVEMENT,B,28000,10.99,0,0.11,N,3,5120.898437,7,512,,
25,259000,MORTGAGE,9,HOMEIMPROVEMENT,D,20000,14.42,0,0.08,Y,2,50430.08976,8,504,,
24,255000,MORTGAGE,9,EDUCATION,A,9600,6.99,0,0.04,N,2,55980.73395,6,559,,
25,250000,RENT,2,MEDICAL,C,25000,13.49,0,0.1,N,4,5122.778131,1,512,,
25,12000,OWN,0,MEDICAL,C,3000,,1,0.25,N,3,1836.586683,5,183,,
22,56950,RENT,6,MEDICAL,A,28000,,1,0.49,N,2,44151.47866,4,441,,
21,12000,OWN,6,EDUCATION,C,3000,13.61,1,0.25,Y,3,60648.69787,3,606,,
23,65000,RENT,2,EDUCATION,A,28000,7.9,1,0.43,N,2,48003.88048,1,480,,
26,85000,RENT,2,VENTURE,A,28000,7.49,1,0.33,N,3,64877.6478,9,648,,
26,12000,OWN,2,EDUCATION,A,6100,7.51,1,0.51,N,3,15529.35719,8,155,,
22,88000,RENT,6,VENTURE,B,28000,9.91,1,0.32,N,3,82012.16218,4,820,,
21,12000,OWN,0,PERSONAL,C,4200,13.48,1,0.35,Y,4,64859.55022,5,648,,
22,12000,OWN,6,DEBTCONSOLIDATION,A,4750,7.14,1,0.4,N,2,38140.84966,1,381,,
24,83004,RENT,0,VENTURE,D,28000,15.99,1,0.34,Y,4,94479.48583,7,944,,
24,250000,RENT,2,EDUCATION,C,18000,12.98,0,0.07,Y,3,82242.33924,5,822,,
144,250000,RENT,4,VENTURE,C,4800,13.57,0,0.02,N,3,73748.27456,3,737,,
25,100000,RENT,5,DEBTCONSOLIDATION,B,28000,12.69,0,0.28,N,3,78516.9348,5,785,,
26,110000,RENT,10,EDUCATION,A,28000,8.9,0,0.25,N,2,30625.48384,9,306,,
26,12000,OWN,0,DEBTCONSOLIDATION,A,2700,,1,0.23,N,4,75178.26526,9,751,,
22,108000,RENT,6,EDUCATION,B,28000,,1,0.26,N,4,19470.10595,5,194,,
23,151200,RENT,7,DEBTCONSOLIDATION,B,28000,11.11,0,0.19,N,2,81650.51865,3,816,,
24,69000,RENT,2,HOMEIMPROVEMENT,A,27600,,1,0.4,N,2,82069.89654,1,820,,
21,12000,MORTGAGE,5,DEBTCONSOLIDATION,E,3250,15.68,1,0.27,Y,3,91099.51758,3,910,,
22,70000,RENT,4,EDUCATION,C,27500,13.06,1,0.39,Y,3,1009.588947,1,100,,
22,240000,OWN,6,PERSONAL,B,25000,,0,0.1,N,2,92001.69707,9,920,,
26,73200,RENT,5,VENTURE,D,27050,15.62,1,0.37,Y,2,60338.09878,5,603,,
24,83000,RENT,5,PERSONAL,C,27000,13.49,1,0.33,Y,2,45581.98971,8,455,,
24,73399,RENT,0,VENTURE,D,27000,,1,0.37,N,3,61532.57694,7,615,,
23,62500,RENT,7,MEDICAL,B,26000,11.71,1,0.42,N,2,16336.77898,3,163,,
23,120000,RENT,1,EDUCATION,B,25600,12.69,0,0.21,N,3,32275.36046,4,322,,
24,12360,OWN,2,MEDICAL,C,1600,13.57,0,0.13,N,3,83176.6827,6,831,,
22,60000,RENT,0,VENTURE,B,25475,10.99,1,0.42,N,3,75792.72989,6,757,,
25,234000,MORTGAGE,3,MEDICAL,C,20000,14.27,0,0.09,Y,4,78429.86518,7,784,,
24,234000,OWN,8,HOMEIMPROVEMENT,B,20000,8.88,0,0.09,N,4,12177.77349,5,121,,
26,234000,MORTGAGE,10,HOMEIMPROVEMENT,B,21600,12.18,0,0.09,N,3,67055.3138,8,670,,
25,221004,MORTGAGE,6,DEBTCONSOLIDATION,D,11900,14.42,1,0.05,Y,3,45305.08505,3,453,,
26,232500,MORTGAGE,0,MEDICAL,C,25000,14.17,0,0.11,Y,2,58772.22503,3,587,,
25,230000,MORTGAGE,5,MEDICAL,C,35000,13.99,0,0.15,N,4,71845.10397,8,718,,
23,83000,RENT,7,EDUCATION,B,25300,10.99,1,0.3,N,3,96098.99701,9,960,,
22,12600,MORTGAGE,,PERSONAL,A,2000,5.42,1,0.16,N,4,77312.34283,9,773,,
25,12600,OWN,3,PERSONAL,C,1750,13.61,0,0.14,N,3,80779.0925,5,807,,
21,42500,RENT,3,EDUCATION,C,25000,12.73,1,0.59,Y,3,57391.85893,4,573,,
24,41000,RENT,2,HOMEIMPROVEMENT,D,25000,,1,0.61,N,3,88123.49722,4,881,,
25,12816,OWN,0,DEBTCONSOLIDATION,C,3000,12.87,1,0.23,Y,4,90532.76846,3,905,,
24,12960,MORTGAGE,1,HOMEIMPROVEMENT,B,3650,9.91,1,0.28,N,3,65963.26378,5,659,,
26,226000,MORTGAGE,4,HOMEIMPROVEMENT,B,20000,11.49,0,0.09,N,4,4268.077807,2,426,,
25,225000,MORTGAGE,0,HOMEIMPROVEMENT,E,30000,19.91,0,0.13,Y,2,81701.04062,6,817,,
26,213000,MORTGAGE,6,EDUCATION,B,35000,10.65,1,0.16,N,2,46297.34973,9,462,,
24,225000,RENT,0,MEDICAL,B,6000,,0,0.03,N,4,54109.86035,7,541,,
24,12960,MORTGAGE,0,DEBTCONSOLIDATION,B,4500,11.83,1,0.35,N,4,57524.40607,1,575,,
23,12996,OWN,0,DEBTCONSOLIDATION,C,2400,13.49,1,0.18,Y,2,88708.41254,4,887,,
22,42000,RENT,6,MEDICAL,D,25000,14.59,1,0.6,Y,2,46605.96083,2,466,,
26,48000,RENT,2,EDUCATION,B,25000,9.64,1,0.52,N,4,17798.98429,6,177,,
25,12996,OWN,1,MEDICAL,D,3600,14.59,1,0.28,N,3,95517.08594,8,955,,
22,12996,OWN,1,EDUCATION,B,4750,,1,0.37,N,3,67021.96729,1,670,,
25,42360,RENT,1,EDUCATION,E,25000,16.35,1,0.59,Y,3,77673.4115,3,776,,
21,49000,RENT,4,EDUCATION,B,25000,10.99,1,0.51,N,2,13368.91337,2,133,,
25,225000,MORTGAGE,0,VENTURE,F,25000,18.67,0,0.11,N,2,81203.7984,4,812,,
26,225000,RENT,1,EDUCATION,A,3000,9.32,0,0.01,N,4,25257.15043,7,252,,
23,225000,RENT,8,DEBTCONSOLIDATION,A,7500,8.63,0,0.03,N,2,26826.19646,4,268,,
26,225000,MORTGAGE,2,VENTURE,B,25000,10.08,0,0.11,N,2,48434.44072,2,484,,
22,49464,RENT,5,PERSONAL,B,25000,11.83,1,0.51,N,3,70479.54466,9,704,,
23,50000,RENT,1,DEBTCONSOLIDATION,A,25000,7.9,1,0.5,N,3,62912.13588,8,629,,
25,50000,RENT,4,HOMEIMPROVEMENT,A,25000,5.99,1,0.5,N,2,88620.41546,2,886,,
24,44000,RENT,2,DEBTCONSOLIDATION,D,25000,15.33,1,0.57,N,2,17610.87504,6,176,,
23,50000,RENT,1,VENTURE,B,25000,11.83,1,0.5,N,4,87089.06275,1,870,,
22,50004,RENT,0,VENTURE,B,25000,10.36,1,0.5,N,2,89128.6961,9,891,,
22,50004,RENT,3,VENTURE,C,25000,12.23,1,0.5,N,3,53103.52427,9,531,,
22,52000,RENT,2,EDUCATION,B,25000,11.11,1,0.48,N,4,27194.90938,2,271,,
23,13200,OWN,3,DEBTCONSOLIDATION,A,4950,7.9,1,0.38,N,4,27573.12607,1,275,,
24,220000,MORTGAGE,1,EDUCATION,B,25000,11.58,0,0.11,N,2,79321.97421,2,793,,
23,216000,MORTGAGE,5,DEBTCONSOLIDATION,A,21000,8.9,0,0.1,N,3,41458.73435,4,414,,
25,216000,MORTGAGE,2,EDUCATION,D,25000,16.07,0,0.12,N,3,5954.687791,4,595,,
26,216000,MORTGAGE,10,EDUCATION,C,20000,14.22,0,0.09,Y,2,32741.07906,7,327,,
